DECLARED MAJOR/MINOR/CONCENTRATION COUNTS AS OF THE FALL SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST,70,32,,82,27,,69,25,,65,25,,71,25,,67,19,,65,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH/CS,54,13,,31,23,,32,11,,36,14,,24,12,,33,12,,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLAC/FRNL,33,19,,81,34,,86,29,,71,39,,47,27,,41,21,,39,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,56,33,,47,10,,55,8,,49,11,,47,9,,39,1,,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHED,48,4,,60,16,,54,30,,66,33,,70,27,,49,14,,28,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL,30,19,,26,20,,21,16,,18,17,,16,11,,18,11,,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS,18,3,,18,3,,14,2,,10,1,,12,1,,13,3,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLSC,77,20,,76,19,,70,22,,81,20,,63,12,,51,11,,63,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYC,156,54,,174,41,,148,22,,142,33,,126,30,,133,18,,128,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELG,18,3,,19,17,,11,13,,13,17,,9,13,,12,8,,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEC,46,10,431,40,7,358,24,7,366,23,6,485,14,4,428,14,14,340,18,13,371,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEA,14,5,,13,12,,10,13,,9,11,,11,3,,16,6,,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Chart represents the number of majors plus 5/8 times the number of minors FALL 2002 - FALL 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEIGHTED TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200230,200330,200430,200530,200630,200730,200830,200930,201030,201130,201230,201330,201430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&S,53.125,50,47.375,57,65.75,69.125,52.125,60.375,74.75,61.875,43.75,50.50,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART,60.75,60.625,56.375,59,60.875,46.5,38.25,47,53,68.25,35.75,37.00,33.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL,110.25,117.125,120.875,160.25,177.625,199.625,178,192.25,192.125,183.25,126.375,148.63,147.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM,77.875,70,62.625,58.875,66.875,94.25,93.125,98.125,102.625,122.125,95.125,82.63,53.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM/SPCH,65.25,59,73.5,81.5,88.375,94.875,83.75,73.75,84.125,72.125,57.625,74.88,100.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M,174.25,172.375,174.125,234.75,251.375,267.625,274.375,225,224.25,179.5,132.5,158.25,138.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL,146,91.5,115.875,152.75,160.125,180.625,150,117.75,109.375,80.25,57.75,70.88,69.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVN,,,,,,,,,,,,3.00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOL,21.5,12.375,17.25,23.5,22.75,18.875,25.375,27.375,45.875,54.625,40.875,38.00,32.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST,91.25,78.875,86.625,80.625,84.625,98.875,90,78.25,84,68.875,46.875,37.50,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIN/PHED,53,57.75,86.875,86.625,72.75,70,62.125,95.25,104,89,66.25,65.75,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH/CS,47,40.5,31.5,44.75,38.875,45.375,44.875,30,40.5,36.25,32.125,26.25,32.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLAC/FRNL,59,54.125,63.875,95.375,104.125,102.25,76.625,66.875,88.125,69.125,47.5,44.38,56.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,42.625,39.625,52.625,55.875,60,53.25,50.5,50.5,59,40.125,47.125,48.50,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL,31.875,24.875,22.875,28.625,31,38.5,41.875,28.25,31.25,34.125,29,24.38,21.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS,16.875,14.875,12.625,10.625,15.25,19.875,19.875,11.25,25.125,17.125,16.125,19.25,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLSC,79.25,57.875,70.5,93.5,83.75,87.875,89.5,76.125,80.875,59.375,33.125,34.38,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYC,158,144.25,144.75,162.625,161.75,199.625,189.75,171.25,173.5,137.25,135.25,116.38,132.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELG,21.375,17,17.125,23.625,19.125,29.625,19.875,22.75,36,28.75,21.625,19.25,11.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEC,26.125,22.75,16.5,26.75,28.375,44.375,52.25,55.375,75.5,50.125,33.75,45.88,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEA,22.5,19.75,12.875,15.875,18.125,20.5,17.125,16.625,15,10.875,14.125,13.63,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
