DEPT,APPT,"FALL
2023","FALL
2022","FALL
2021","FALL
2020","FALL
2019","FALL
2018","FALL
2017","FALL
2016","FALL
2015","FALL
2014","FALL
2013","FALL
2012","FALL
2011","FALL
2010","FALL
2009","FALL
2008","FALL
2007","FALL
2006","FALL
2005","FALL
2004","FALL
2003","FALL
2002","FALL
2001"
COMM/SPCH Total,,7.33,6.67,6.33,6.32,6.00,7.33,6.00,5.00,5.00,4.66,4.66,5.33,4.32,4.33,4.66,5.32,4.99,4.99,4.67,4.67,4.67,4.33,4.33
,,,,,,,,,,,,,,,,,,,,,,,,
E&M,Tenured,3.00,4.00,5.33,6.16,6.33,6.33,5.00,5.00,4.00,2.66,5.00,5.16,5.00,4.33,5.16,5.33,4.33,6.00,7.00,7.33,7.33,6.42,6.17
,Tenure-Track,2.83,2.67,1.66,0.66,1.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.66,4.00,3.16,5.00,5.00,4.00,2.67,1.67,1.00,2.00,0.00
,Visiting,0.00,1.67,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,1.00,1.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,2.67
,Adjunct,3.00,1.00,0.66,1.33,1.00,0.00,0.66,0.00,0.33,1.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.33,0.00,0.00,0.33,0.00,0.00
E&M Total,,8.83,9.34,7.65,8.15,8.33,9.33,7.66,7.00,7.33,6.66,7.00,8.16,7.66,8.33,8.32,11.99,11.33,10.33,9.67,9.00,8.67,8.42,8.83
,,,,,,,,,,,,,,,,,,,,,,,,
EDUC,Tenured,3.00,2.00,2.75,2.08,2.16,2.08,2.00,2.00,1.33,1.66,2.00,2.00,1.50,1.22,1.00,1.69,1.33,2.27,0.33,1.17,0.33,0.33,0.33
,Tenure-Track,0.83,1.67,1.16,0.66,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.83,1.33,1.75,0.83,0.83,2.17,2.67,2.67,2.00,1.00
,Visiting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.66,1.00,1.66,2.00,2.02,0.80,1.00,0.66,2.00,1.00,1.00,0.00,0.00,0.00,2.00
,Adjunct,0.00,0.00,0.16,0.42,0.16,0.66,0.83,0.50,0.83,0.00,0.05,0.00,0.00,0.00,0.16,0.00,1.16,0.83,2.33,1.54,1.58,2.14,0.83
