Academic Year,Category,Subcategory,Full Time,Part Time
2024-25,,Off-Campus Students,0,0
2023-24,,Off-Campus Students,0,0
2022-23,,Off-Campus Students,1,0
2024-25,,TOTALS,294,1
2023-24,,TOTALS,316,2
2022-23,,TOTALS,384,1
2021-22,,TOTALS,368,1
2020-21,,TOTALS,342,1
2019-20,,TOTALS,364,1
2018-19,,TOTALS,409,0
2017-18,,TOTALS,367,0
2016-17,,TOTALS,382,0
2015-16,,TOTALS,321,0
2014-15,,TOTALS,313,0
2013-14,,TOTALS,318,2
2012-13,,TOTALS,311,0
2011-12,,TOTALS,358,0
2010-11,,TOTALS,378,1
2009-10,,TOTALS,445,1
2008-09,,TOTALS,464,1
2007-08,,TOTALS,446,0
2006-07,,TOTALS,529,1
2005-06,,TOTALS,515,0
2004-05,,TOTALS,457,1
2003-04,,TOTALS,484,2
2002-03,,TOTALS,404,2
2024-25,,New High School Grads (w/ 6+ units),5,0
2023-24,,New High School Grads (w/ 6+ units),6,0
2022-23,,New High School Grads (w/ 6+ units),4,0
2021-22,,New High School Grads (w/ 6+ units),7,0
2020-21,,New High School Grads (w/ 6+ units),3,0
2019-20,,New High School Grads (w/ 6+ units),3,0
2018-19,,New High School Grads (w/ 6+ units),1,0
2017-18,,New High School Grads (w/ 6+ units),1,0
2016-17,,New High School Grads (w/ 6+ units),0,0
2015-16,,New High School Grads (w/ 6+ units),1,0
2014-15,,New High School Grads (w/ 6+ units),1,0
2013-14,,New High School Grads (w/ 6+ units),1,0
2012-13,,New High School Grads (w/ 6+ units),1,0
2024-25,,New Transfer Students,7,0
2023-24,,New Transfer Students,10,0
2022-23,,New Transfer Students,8,0
2021-22,,New Transfer Students,8,0
2020-21,,New Transfer Students,4,0
2019-20,,New Transfer Students,11,0
2018-19,,New Transfer Students,7,0
2017-18,,New Transfer Students,10,0
2016-17,,New Transfer Students,3,0
2015-16,,New Transfer Students,9,0
2014-15,,New Transfer Students,3,0
2013-14,,New Transfer Students,7,0
2012-13,,New Transfer Students,9,0
2011-12,,New Transfer Students,2,0
2010-11,,New Transfer Students,4,0
2009-10,,New Transfer Students,1,0
2008-09,,New Transfer Students,6,0
2007-08,,New Transfer Students,5,0
2006-07,,New Transfer Students,3,0
2005-06,,New Transfer Students,5,0
2004-05,,New Transfer Students,9,0
2003-04,,New Transfer Students,4,0
2002-03,,New Transfer Students,5,0
2024-25,,Returning On-Campus Students,249,1
2023-24,,Returning On-Campus Students,306,1
2022-23,,Returning On-Campus Students,279,0
2021-22,,Returning On-Campus Students,273,0
2020-21,,Returning On-Campus Students,288,1
2019-20,,Returning On-Campus Students,308,0
2018-19,,Returning On-Campus Students,280,3
2017-18,,Returning On-Campus Students,329,1
2016-17,,Returning On-Campus Students,274,3
2015-16,,Returning On-Campus Students,257,3
2014-15,,Returning On-Campus Students,254,3
2013-14,,Returning On-Campus Students,244,8
2012-13,,Returning On-Campus Students,317,2
2011-12,,Returning On-Campus Students,332,1
2010-11,,Returning On-Campus Students,347,9
2009-10,,Returning On-Campus Students,359,6
2008-09,,Returning On-Campus Students,346,0
2007-08,,Returning On-Campus Students,404,0
2006-07,,Returning On-Campus Students,397,0
2005-06,,Returning On-Campus Students,362,3
2004-05,,Returning On-Campus Students,392,0
2003-04,,Returning On-Campus Students,329,0
2002-03,,Returning On-Campus Students,305,5
2024-25,,Off-Campus Students,4,0
2023-24,,Off-Campus Students,10,0
2022-23,,Off-Campus Students,6,0
2021-22,,Off-Campus Students,2,0
2020-21,,Off-Campus Students,2,0
2019-20,,Off-Campus Students,14,0
2018-19,,Off-Campus Students,8,0
2017-18,,Off-Campus Students,19,0
2016-17,,Off-Campus Students,8,0
2015-16,,Off-Campus Students,19,0
2014-15,,Off-Campus Students,14,0
2013-14,,Off-Campus Students,14,0
2012-13,,Off-Campus Students,9,0
2011-12,,Off-Campus Students,16,0
2010-11,,Off-Campus Students,34,0
2009-10,,Off-Campus Students,39,0
2008-09,,Off-Campus Students,49,0
2007-08,,Off-Campus Students,66,0
2006-07,,Off-Campus Students,60,1
2005-06,,Off-Campus Students,38,0
2004-05,,Off-Campus Students,31,0
2003-04,,Off-Campus Students,44,0
2002-03,,Off-Campus Students,36,0
2024-25,,TOTALS,265,1
2023-24,,TOTALS,332,1
2022-23,,TOTALS,297,0
2021-22,,TOTALS,290,0
