Department,Term,Average Class Size
E&M,2011-Fall,22.3
E&M,2012-Fall,23.6
E&M,2013-Fall,21.5
E&M,2014-Fall,21.2
E&M,2015-Fall,24.6
E&M,2016-Fall,27.9
E&M,2017-Fall,26.3
E&M,2018-Fall,24.9
E&M,2019-Fall,21.8
E&M,2020-Fall,20.6
E&M,2021-Fall,20.7
E&M,2022-Fall,16.1
E&M,2023-Fall,17.6
EDUC,2002-Fall,11.2
EDUC,2003-Spring,9.9
EDUC,2003-Fall,9.2
EDUC,2004-Spring,12.8
EDUC,2004-Fall,14.9
EDUC,2005-Spring,13.5
EDUC,2005-Fall,10.4
EDUC,2006-Spring,11.7
EDUC,2006-Fall,10.2
EDUC,2007-Spring,10.5
EDUC,2007-Fall,7.3
EDUC,2008-Spring,8.8
EDUC,2008-Fall,7.8
EDUC,2009-Spring,9.0
EDUC,2009-Fall,7.9
EDUC,2010-Spring,9.8
EDUC,2010-Fall,6.4
EDUC,2011-Spring,9.2
EDUC,2011-Fall,7.8
EDUC,2012-Fall,6.9
EDUC,2013-Fall,7.2
EDUC,2014-Fall,6.5
EDUC,2015-Fall,10.0
EDUC,2016-Fall,8.1
EDUC,2017-Fall,12.0
EDUC,2018-Fall,12.6
EDUC,2019-Fall,14.8
EDUC,2020-Fall,9.9
EDUC,2021-Fall,9.1
EDUC,2022-Fall,11.0
EDUC,2023-Fall,11.6
ENGL,2002-Fall,17.5
ENGL,2003-Spring,17.6
ENGL,2003-Fall,15.8
ENGL,2004-Spring,19.1
ENGL,2004-Fall,17.5
ENGL,2005-Spring,19.3
ENGL,2005-Fall,17.6
ENGL,2006-Spring,18.9
ENGL,2006-Fall,19.7
ENGL,2007-Spring,19.3
ENGL,2007-Fall,18.5
ENGL,2008-Spring,17.3
ENGL,2008-Fall,15.4
ENGL,2009-Spring,16.8
ENGL,2009-Fall,17.0
ENGL,2010-Spring,18.1
ENGL,2010-Fall,15.4
ENGL,2011-Spring,17.1
ENGL,2011-Fall,14.8
ENGL,2012-Fall,13.9
ENGL,2013-Fall,15.1
ENGL,2014-Fall,14.3
ENGL,2015-Fall,15.8
ENGL,2016-Fall,15.1
ENGL,2017-Fall,16.9
ENGL,2018-Fall,15.5
ENGL,2019-Fall,15.9
ENGL,2020-Fall,15.5
ENGL,2021-Fall,14.5
ENGL,2022-Fall,14.7
ENGL,2023-Fall,15.8
ENVN,2013-Fall,19.8
ENVN,2014-Fall,25.0
ENVN,2015-Fall,23.0
ENVN,2016-Fall,24.0
ENVN,2017-Fall,27.0
ENVN,2018-Fall,27.0
ENVN,2019-Fall,8.0
ENVN,2020-Fall,9.0
ENVN,2022-Fall,9.0
ENVN,2023-Fall,13.0
ETHN,2013-Fall,23.0
ETHN,2014-Fall,30.3
ETHN,2015-Fall,28.0
ETHN,2016-Fall,34.0
ETHN,2017-Fall,33.3
ETHN,2018-Fall,28.5
ETHN,2019-Fall,21.0
ETHN,2020-Fall,18.0
ETHN,2021-Fall,23.3
ETHN,2022-Fall,20.3
ETHN,2023-Fall,20.7
GEOL,2002-Fall,27.8
GEOL,2003-Spring,30.4
GEOL,2003-Fall,22.2
GEOL,2004-Spring,24.2
GEOL,2004-Fall,23.7
GEOL,2005-Spring,25.1
GEOL,2005-Fall,23.3
GEOL,2006-Spring,21.7
GEOL,2006-Fall,21.0
GEOL,2007-Spring,18.7
GEOL,2007-Fall,21.3
GEOL,2008-Spring,21.2
GEOL,2008-Fall,19.3
GEOL,2009-Spring,25.8
GEOL,2009-Fall,25.4
GEOL,2010-Spring,20.8
GEOL,2010-Fall,25.2
GEOL,2011-Spring,24.8
GEOL,2011-Fall,28.3
GEOL,2012-Fall,23.3
GEOL,2013-Fall,19.8
GEOL,2014-Fall,25.0
GEOL,2015-Fall,20.9
GEOL,2016-Fall,19.5
GEOL,2017-Fall,21.4
GEOL,2018-Fall,20.7
GEOL,2019-Fall,19.1
GEOL,2020-Fall,19.0
GEOL,2021-Fall,22.4
GEOL,2022-Fall,17.5
GEOL,2023-Fall,22.4
HIST,2002-Fall,20.7
HIST,2003-Spring,18.9
HIST,2003-Fall,20.2
HIST,2004-Spring,18.7
HIST,2004-Fall,19.8
HIST,2005-Spring,20.8
HIST,2005-Fall,17.5
HIST,2006-Spring,18.6
HIST,2006-Fall,19.0
HIST,2007-Spring,21.7
HIST,2007-Fall,18.6
HIST,2008-Spring,21.2
HIST,2008-Fall,18.2
HIST,2009-Spring,17.2
HIST,2009-Fall,19.6
HIST,2010-Spring,19.4
