Department,Term,Average Class Size
ENVN,2006-Fall,24
ENVN,2007-Spring,27.0
ENVN,2007-Fall,27.0
ENVN,2008-Spring,8.0
ENVN,2008-Fall,9.0
ETHN,2005-Spring,23.0
ETHN,2005-Fall,30.3
ETHN,2006-Spring,28.0
ETHN,2006-Fall,34
ETHN,2007-Spring,33.3
ETHN,2007-Fall,28.5
ETHN,2008-Spring,21.0
ETHN,2008-Fall,18.0
ETHN,2009-Spring,23.3
GEOL,2002-Fall,19.3
GEOL,2003-Spring,25.4
GEOL,2003-Fall,25.2
GEOL,2004-Spring,28.3
GEOL,2004-Fall,23.3
GEOL,2005-Spring,19.8
GEOL,2005-Fall,25.0
GEOL,2006-Spring,20.9
GEOL,2006-Fall,19.5
GEOL,2007-Spring,21.4
GEOL,2007-Fall,20.7
GEOL,2008-Spring,19.1
GEOL,2008-Fall,19.0
GEOL,2009-Spring,22.4
HIST,2002-Fall,18.2
HIST,2003-Spring,19.6
HIST,2003-Fall,19.5
HIST,2004-Spring,20.8
HIST,2004-Fall,14.1
HIST,2005-Spring,16.4
HIST,2005-Fall,15.8
HIST,2006-Spring,17.4
HIST,2006-Fall,17.1
HIST,2007-Spring,22.1
HIST,2007-Fall,21.4
HIST,2008-Spring,19.9
HIST,2008-Fall,23.1
HIST,2009-Spring,20.1
INTN,2005-Spring,12.0
INTN,2005-Fall,9.5
INTN,2006-Spring,19.7
INTN,2006-Fall,17
INTN,2007-Spring,23.0
INTN,2007-Fall,14.5
INTN,2008-Spring,14.0
INTN,2008-Fall,13.3
INTN,2009-Spring,9.3
KIN/PHED,2002-Fall,13.5
KIN/PHED,2003-Spring,16.6
KIN/PHED,2003-Fall,17.7
KIN/PHED,2004-Spring,15.3
KIN/PHED,2004-Fall,15.9
KIN/PHED,2005-Spring,16.9
KIN/PHED,2005-Fall,22.4
KIN/PHED,2006-Spring,21.3
KIN/PHED,2006-Fall,26.2
KIN/PHED,2007-Spring,19.7
KIN/PHED,2007-Fall,18.4
KIN/PHED,2008-Spring,20.7
KIN/PHED,2008-Fall,22.6
KIN/PHED,2009-Spring,23.8
MATH/CS,2002-Fall,13.0
MATH/CS,2003-Spring,13.8
MATH/CS,2003-Fall,14.2
MATH/CS,2004-Spring,14.5
MATH/CS,2004-Fall,13.1
MATH/CS,2005-Spring,15.1
MATH/CS,2005-Fall,15.7
MATH/CS,2006-Spring,15.5
MATH/CS,2006-Fall,19.8
MATH/CS,2007-Spring,17.3
MATH/CS,2007-Fall,18.6
MATH/CS,2008-Spring,16.1
MATH/CS,2008-Fall,14.2
MATH/CS,2009-Spring,15.4
MLAC,2002-Fall,13.9
MLAC,2003-Spring,14.7
MLAC,2003-Fall,13.0
MLAC,2004-Spring,11.8
MLAC,2004-Fall,10.2
MLAC,2005-Spring,12.4
MLAC,2005-Fall,13.2
MLAC,2006-Spring,11.6
MLAC,2006-Fall,12.5
MLAC,2007-Spring,12.6
MLAC,2007-Fall,12.4
MLAC,2008-Spring,10.9
MLAC,2008-Fall,10.9
MLAC,2009-Spring,12.4
MUS,2002-Fall,11.5
MUS,2003-Spring,12.4
MUS,2003-Fall,18.0
MUS,2004-Spring,13.1
MUS,2004-Fall,11.3
MUS,2005-Spring,11.5
MUS,2005-Fall,6.1
MUS,2006-Spring,14.6
MUS,2006-Fall,12.75
MUS,2007-Spring,7.7
MUS,2007-Fall,12.2
MUS,2008-Spring,8.0
MUS,2008-Fall,9.1
MUS,2009-Spring,10.4
PHIL,2002-Fall,23.2
PHIL,2003-Spring,27.1
PHIL,2003-Fall,24.5
PHIL,2004-Spring,23.6
PHIL,2004-Fall,20.5
PHIL,2005-Spring,18.7
PHIL,2005-Fall,19.4
PHIL,2006-Spring,25.1
PHIL,2006-Fall,21.6
PHIL,2007-Spring,21.7
PHIL,2007-Fall,21.0
PHIL,2008-Spring,24.9
PHIL,2008-Fall,20.8
PHIL,2009-Spring,20.8
PHYS,2002-Fall,21.1
PHYS,2003-Spring,20.0
PHYS,2003-Fall,24.4
PHYS,2004-Spring,24.1
PHYS,2004-Fall,19.1
PHYS,2005-Spring,14.0
PHYS,2005-Fall,17.2
PHYS,2006-Spring,15.8
PHYS,2006-Fall,16.5
PHYS,2007-Spring,18.3
PHYS,2007-Fall,16.6
PHYS,2008-Spring,13.0
PHYS,2008-Fall,14.4
PHYS,2009-Spring,14.4
PLSC,2002-Fall,18.6
PLSC,2003-Spring,17.2
PLSC,2003-Fall,19.2
PLSC,2004-Spring,18.0
PLSC,2004-Fall,11.2
PLSC,2005-Spring,13.5
PLSC,2005-Fall,13.7
PLSC,2006-Spring,18.8
PLSC,2006-Fall,18.7
PLSC,2007-Spring,17.6
PLSC,2007-Fall,18.1
PLSC,2008-Spring,17.5
PLSC,2008-Fall,14.3
PLSC,2009-Spring,17.5
PSYC,2002-Fall,23.0
PSYC,2003-Spring,24.8
PSYC,2003-Fall,24.3
PSYC,2004-Spring,25.2
PSYC,2004-Fall,23.3
PSYC,2005-Spring,24.6
PSYC,2005-Fall,23.5
PSYC,2006-Spring,26.4
PSYC,2006-Fall,23.7
PSYC,2007-Spring,26.0
PSYC,2007-Fall,24.4
PSYC,2008-Spring,23.9
PSYC,2008-Fall,22.3
PSYC,2009-Spring,23.4
RELG,2002-Fall,15.2
RELG,2003-Spring,20.2
RELG,2003-Fall,19.3
RELG,2004-Spring,17.9
RELG,2004-Fall,12.7
RELG,2005-Spring,13.2
RELG,2005-Fall,12.9
RELG,2006-Spring,15.9
RELG,2006-Fall,17.4
RELG,2007-Spring,20.3
RELG,2007-Fall,21.4
RELG,2008-Spring,15.1
RELG,2008-Fall,20.3
RELG,2009-Spring,20.8
THEA,2002-Fall,13.6
THEA,2003-Spring,15.1
THEA,2003-Fall,21.0
THEA,2004-Spring,15.5
THEA,2004-Fall,10.2
THEA,2005-Spring,11.6
THEA,2005-Fall,19.6
THEA,2006-Spring,16.3
THEA,2006-Fall,18.1
THEA,2007-Spring,22.3
THEA,2007-Fall,15.1
THEA,2008-Spring,14.3
THEA,2008-Fall,15.3
THEA,2009-Spring,17.4
WGS,2004-Spring,21.0
WGS,2004-Fall,22.5
WGS,2005-Spring,16.3
WGS,2005-Fall,23.0
WGS,2006-Spring,24.0
WGS,2006-Fall,20.5
WGS,2007-Spring,25.5
WGS,2007-Fall,29.0
WGS,2008-Spring,23.0
WGS,2008-Fall,18.7
WGS,2009-Spring,19.4
LA 101,2004-Fall,13.8
LA 101,2005-Spring,13.8
LA 101,2005-Fall,14.3
LA 101,2006-Spring,15.7
LA 101,2006-Fall,16
LA 101,2007-Spring,17.8
LA 101,2007-Fall,14.3
LA 101,2008-Spring,14.3
LA 101,2008-Fall,12.9
LA 101,2009-Spring,13.0
SPEC,2002-Fall,15.6
SPEC,2003-Spring,16.6
SPEC,2003-Fall,15.2
SPEC,2004-Spring,15.0
SPEC,2004-Fall,16.9
SPEC,2005-Spring,11.9
SPEC,2005-Fall,12.3
SPEC,2006-Spring,13.6
SPEC,2006-Fall,16.6
SPEC,2007-Spring,14.9
SPEC,2007-Fall,15.2
SPEC,2008-Spring,13.0
SPEC,2008-Fall,11.8
SPEC,2009-Spring,13.0
